,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
3,frozenset({15668460}),frozenset({15668378}),0.18458574181117535,0.13641618497109825,0.04277456647398844,0.23173277661795405,1.6987190828350023,1.0,0.017594083776047757,1.124066976627293,0.5044321258877025,0.15373961218836565,0.11037329554823329,0.2726460493259262
47,frozenset({15668460}),frozenset({15668467}),0.18458574181117535,0.13448940269749518,0.04084778420038536,0.22129436325678498,1.6454408958491604,1.0,0.016022958037726326,1.1114733943911523,0.48105628276919793,0.14681440443213298,0.10029335380737178,0.2625096458117736
46,frozenset({15668467}),frozenset({15668460}),0.13448940269749518,0.18458574181117535,0.04084778420038536,0.3037249283667622,1.6454408958491604,1.0,0.016022958037726326,1.1711093666991763,0.4532124195635008,0.14681440443213298,0.1461087850244555,0.2625096458117736
23,frozenset({15668379}),frozenset({15668688}),0.18458574181117535,0.1857418111753372,0.055876685934489405,0.302713987473904,1.6297568412754788,1.0,0.02159139593333853,1.1677535103203998,0.4738837103187537,0.17769607843137256,0.14365489706331322,0.3017719314962881
22,frozenset({15668688}),frozenset({15668379}),0.1857418111753372,0.18458574181117535,0.055876685934489405,0.3008298755186722,1.6297568412754786,1.0,0.02159139593333853,1.16626015562912,0.47455652202294496,0.17769607843137256,0.14255837758551715,0.3017719314962881
14,frozenset({15668465}),frozenset({15668379}),0.12947976878612716,0.18458574181117535,0.038535645472061654,0.2976190476190476,1.6123620638234415,1.0,0.014635526301134905,1.16092877437053,0.43628154050464796,0.13986013986013987,0.13862071293545772,0.2531936574212148
15,frozenset({15668379}),frozenset({15668465}),0.18458574181117535,0.12947976878612716,0.038535645472061654,0.20876826722338201,1.6123620638234415,1.0,0.014635526301134905,1.100208946573734,0.46576559546313795,0.13986013986013987,0.09108174123270311,0.2531936574212148
1,frozenset({15668381}),frozenset({15668378}),0.20423892100192678,0.13641618497109825,0.044701348747591525,0.2188679245283019,1.604413175567637,1.0,0.016839854321895158,1.1055541593365166,0.47340736411455303,0.15104166666666666,0.09547624460104571,0.2732757701737555
0,frozenset({15668378}),frozenset({15668381}),0.13641618497109825,0.20423892100192678,0.044701348747591525,0.3276836158192091,1.604413175567637,1.0,0.016839854321895158,1.1836110166609999,0.4362276692978813,0.15104166666666666,0.1551278368284976,0.2732757701737555
30,frozenset({15668467}),frozenset({15668381}),0.13448940269749518,0.20423892100192678,0.04393063583815029,0.32664756446991405,1.5993404335838244,1.0,0.01646266534502025,1.1817898577460748,0.4329724578588055,0.14901960784313725,0.15382587399487987,0.27087095204627776
31,frozenset({15668381}),frozenset({15668467}),0.20423892100192678,0.13448940269749518,0.04393063583815029,0.21509433962264152,1.5993404335838244,1.0,0.01646266534502025,1.102693789832518,0.470923070387834,0.14901960784313725,0.09312992489793177,0.27087095204627776
20,frozenset({15668379}),frozenset({15668478}),0.18458574181117535,0.14258188824662812,0.04200385356454721,0.22755741127348644,1.5959769790667495,1.0,0.015685269953705252,1.1100088527834193,0.45795685125127905,0.14729729729729732,0.09910628415941453,0.26107600293404054
21,frozenset({15668478}),frozenset({15668379}),0.14258188824662812,0.18458574181117535,0.04200385356454721,0.29459459459459464,1.5959769790667495,1.0,0.015685269953705252,1.1559512472408626,0.43552211112256467,0.14729729729729732,0.13491161293618764,0.26107600293404054
79,frozenset({15669878}),frozenset({15669869}),0.17148362235067438,0.12678227360308286,0.03468208092485549,0.20224719101123592,1.5952324032649154,1.0,0.012940997397544552,1.0945968683003608,0.45036175710594295,0.13157894736842102,0.08642165078294668,0.2379017110071377
78,frozenset({15669869}),frozenset({15669878}),0.12678227360308286,0.17148362235067438,0.03468208092485549,0.27355623100303944,1.5952324032649152,1.0,0.012940997397544552,1.1405099926637159,0.4273070510934586,0.13157894736842102,0.12319926486180806,0.2379017110071377
32,frozenset({15668468}),frozenset({15668381}),0.12639691714836224,0.20423892100192678,0.04007707129094412,0.3170731707317073,1.5524620340543027,1.0,0.014261901314592682,1.1652215799614645,0.40734959790980957,0.13793103448275862,0.14179412980570483,0.2566497929130235
33,frozenset({15668381}),frozenset({15668468}),0.20423892100192678,0.12639691714836224,0.04007707129094412,0.1962264150943396,1.5524620340543027,1.0,0.014261901314592682,1.0868770749093146,0.44719687092568444,0.13793103448275862,0.07993275128796262,0.2566497929130235
29,frozenset({15668381}),frozenset({15668465}),0.20423892100192678,0.12947976878612716,0.04084778420038536,0.2,1.5446428571428574,1.0,0.01440297593192779,1.0881502890173411,0.4430992736077483,0.13947368421052633,0.08100929614873839,0.25773809523809527
28,frozenset({15668465}),frozenset({15668381}),0.12947976878612716,0.20423892100192678,0.04084778420038536,0.3154761904761905,1.5446428571428574,1.0,0.01440297593192779,1.1625031414928375,0.405046480743692,0.13947368421052633,0.13978727084053966,0.25773809523809527
72,frozenset({15669780}),frozenset({15669878}),0.14797687861271677,0.17148362235067438,0.03892100192678227,0.2630208333333333,1.5337956460674156,1.0,0.013545390758127565,1.1242059682591554,0.40846621975630387,0.13873626373626372,0.1104832848837209,0.24499356273408238
73,frozenset({15669878}),frozenset({15669780}),0.17148362235067438,0.14797687861271677,0.03892100192678227,0.22696629213483144,1.5337956460674156,1.0,0.013545390758127565,1.1021810727248285,0.42005526134008736,0.13873626373626372,0.09270806336041952,0.24499356273408238
50,frozenset({15668688}),frozenset({15668460}),0.1857418111753372,0.18458574181117535,0.05086705202312139,0.27385892116182575,1.483640710678367,1.0,0.016581762021970516,1.1229419212771814,0.4003427555249609,0.15922798552472858,0.10948199452501788,0.27471651694834504
51,frozenset({15668460}),frozenset({15668688}),0.18458574181117535,0.1857418111753372,0.05086705202312139,0.2755741127348643,1.483640710678367,1.0,0.016581762021970516,1.1240048197320274,0.39977516182620154,0.15922798552472858,0.1103240996436218,0.27471651694834504
27,frozenset({15668462}),frozenset({15668381}),0.1252408477842004,0.20423892100192678,0.037764932562620424,0.30153846153846153,1.476400580551524,1.0,0.012185876945808784,1.1393055095787392,0.36887530342533487,0.12945838837516513,0.1222723039672192,0.24322206095791
26,frozenset({15668381}),frozenset({15668462}),0.20423892100192678,0.1252408477842004,0.037764932562620424,0.18490566037735848,1.476400580551524,1.0,0.012185876945808784,1.0731998858203096,0.4054948856055739,0.12945838837516513,0.06820713157676002,0.24322206095791
77,frozenset({15669863}),frozenset({15669878}),0.12408477842003854,0.17148362235067438,0.03121387283236994,0.2515527950310559,1.466920231697955,1.0,0.009935365550320943,1.1069803883945346,0.36339096098591617,0.11807580174927113,0.0966416293514372,0.2167876334705841
76,frozenset({15669878}),frozenset({15669863}),0.17148362235067438,0.12408477842003854,0.03121387283236994,0.18202247191011234,1.466920231697955,1.0,0.009935365550320943,1.0708304219864913,0.38418030433534306,0.11807580174927113,0.06614532098844765,0.2167876334705841
